City,Latitude,Longitude,Maximum Temp,Humidity,Clouds,Wind Speed,Country,Date
aswan,24.09,32.91,102.09,14,81,9.86,EG,1597077090
terney,45.05,136.61,64.31,92,88,1.41,RU,1597077171
poum,-20.23,164.02,72.54,81,100,13.2,NC,1597077079
otane,-39.88,176.63,46.0,78,25,2.37,NZ,1597077171
ramhormoz,31.28,49.6,105.8,13,0,18.34,IR,1597077172
saint-philippe,-21.36,55.77,66.2,63,75,4.7,RE,1597077172
taltal,-25.4,-70.48,62.67,61,23,5.08,CL,1597077172
barrow,71.29,-156.79,39.2,93,90,8.05,US,1597076889
atuona,-9.8,-139.03,78.85,68,4,20.45,PF,1597077172
lorengau,-2.02,147.27,80.78,74,85,4.23,PG,1597077172
siyabuswa,-25.11,29.04,56.73,34,0,3.27,ZA,1597077172
sur,22.57,59.53,84.38,74,2,9.46,OM,1597077099
ust-uda,54.17,103.03,63.05,66,99,3.69,RU,1597077172
ginda,30.69,78.49,67.82,89,96,0.85,IN,1597077172
wanning,18.8,110.4,83.28,83,57,9.44,CN,1597077172
van,38.49,43.38,75.2,44,20,4.7,TR,1597077172
college,64.86,-147.8,53.6,76,90,3.36,US,1597077005
zaterechnyy,44.79,45.21,80.1,28,78,8.61,RU,1597077172
nouadhibou,20.93,-17.03,78.8,65,0,20.8,MR,1597076959
laguna,38.42,-121.42,75.99,52,0,1.01,US,1597077172
uvat,59.14,68.9,65.68,86,15,6.4,RU,1597077172
ramsar,36.92,50.64,80.6,83,75,2.24,IR,1597077173
sugod,12.99,124.08,81.12,80,87,2.19,PH,1597077173
rio gallegos,-51.62,-69.22,35.6,64,40,23.04,AR,1597077052
namibe,-15.2,12.15,64.78,77,14,7.09,AO,1597077173
ziarat,30.38,67.73,68.63,73,12,5.44,PK,1597077173
nouakchott,18.09,-15.98,84.2,66,40,14.99,MR,1597077173
rabo de peixe,37.8,-25.58,73.4,83,40,8.05,PT,1597077173
darhan,49.49,105.92,57.49,79,5,2.46,MN,1597077173
high level,58.52,-117.14,59.0,72,75,4.7,CA,1597077173
kulhudhuffushi,6.62,73.07,82.6,77,48,15.55,MV,1597077065
codrington,-38.27,141.97,44.06,84,90,10.96,AU,1597077173
miranda,3.25,-76.23,84.2,58,20,2.24,CO,1597077173
kutum,14.2,24.67,73.22,65,99,5.88,SD,1597077173
taoudenni,22.68,-3.98,109.71,8,0,22.95,ML,1597077173
manyana,-23.4,21.72,60.04,32,0,4.18,BW,1597077173
jertih,5.73,102.49,78.8,88,40,3.36,MY,1597077173
tuktoyaktuk,69.45,-133.04,46.4,81,75,8.05,CA,1597077173
seoul,37.57,126.98,77.0,100,90,5.73,KR,1597077158
pocri,8.27,-80.55,84.2,79,40,4.7,PA,1597077174
along,28.17,94.77,75.04,90,100,1.77,IN,1597077174
sabzevar,36.21,57.68,86.95,19,0,13.31,IR,1597077174
nikolskoye,59.7,30.79,68.0,45,40,15.66,RU,1597077174
ruwi,23.6,58.55,89.6,79,40,5.82,OM,1597077174
ballina,-28.87,153.57,57.2,58,40,11.41,AU,1597077174
arraial do cabo,-22.97,-42.03,82.4,48,0,16.11,BR,1597077046
pangnirtung,66.15,-65.71,46.4,75,90,4.7,CA,1597077110
abu kamal,34.45,40.92,88.83,25,0,6.64,SY,1597077174
vilhena,-12.74,-60.15,84.2,39,0,10.29,BR,1597077174
najran,17.49,44.13,95.0,16,40,9.17,SA,1597077174
zemio,5.03,25.14,72.82,93,98,1.12,CF,1597077174
leningradskiy,69.38,178.42,42.46,81,100,9.26,RU,1597077174
burnie,-41.07,145.92,42.01,88,2,1.99,AU,1597077174
bathsheba,13.22,-59.52,87.8,70,40,17.22,BB,1597077174
oranjestad,12.52,-70.03,89.6,66,40,19.46,AW,1597077004
ostrovnoy,68.05,39.51,49.75,81,99,10.71,RU,1597077174
eppelborn,49.4,6.97,93.99,30,90,1.01,DE,1597077174
okhotsk,59.38,143.3,56.59,89,80,6.69,RU,1597077124
egvekinot,66.32,-179.17,45.18,98,81,1.52,RU,1597077174
bathurst,-33.42,149.58,39.99,88,67,21.99,AU,1597077092
mudgee,-32.59,149.59,42.8,100,90,4.7,AU,1597077175
nome,64.5,-165.41,35.6,80,1,3.36,US,1597076900
nabire,-3.37,135.48,76.06,88,96,3.49,ID,1597077175
sapa,5.15,120.32,82.51,83,45,8.84,PH,1597077175
ordzhonikidze,52.44,61.74,62.13,82,4,4.03,KZ,1597077175
santa maria da vitoria,-13.39,-44.19,92.62,20,0,4.16,BR,1597077175
bambous virieux,-20.34,57.76,68.0,68,40,9.17,MU,1597077054
presidencia roque saenz pena,-26.79,-60.44,93.02,22,39,11.48,AR,1597077175
newcastle,-32.93,151.78,51.8,100,40,11.41,AU,1597077145
hobyo,5.35,48.53,75.7,73,34,29.66,SO,1597077175
tual,-5.67,132.75,78.46,85,21,15.28,ID,1597077175
taloc,10.57,122.9,80.26,79,100,2.66,PH,1597077175
silistea,44.38,25.35,86.0,39,50,7.0,RO,1597077175
la libertad,-2.23,-80.9,68.0,82,90,5.82,EC,1597077175
flin flon,54.77,-101.86,62.6,72,90,19.46,CA,1597077175
pokhara,28.23,83.98,73.4,78,100,2.28,NP,1597077175
tambovka,50.1,128.05,62.6,93,20,6.71,RU,1597077176
rudnichnyy,59.62,52.47,53.55,77,47,6.13,RU,1597077176
luderitz,-26.65,15.16,62.6,63,0,17.22,NA,1597077047
guerrero negro,27.98,-114.06,79.93,48,0,10.42,MX,1597077176
oktyabrskiy,54.48,53.47,58.64,74,100,8.12,RU,1597077108
grindavik,63.84,-22.43,51.8,100,75,26.4,IS,1597076944
dwarka,22.24,68.97,83.77,83,83,19.08,IN,1597077176
kavieng,-2.57,150.8,81.45,72,54,2.59,PG,1597077053
port elizabeth,-33.92,25.57,57.2,71,0,8.05,ZA,1597077055
somerset,40.57,-74.55,91.99,58,1,5.26,US,1597077176
olafsvik,64.89,-23.71,51.53,94,100,21.81,IS,1597077176
victoria,22.29,114.16,86.0,80,100,10.49,HK,1597077176
haapiti,-17.57,-149.87,73.4,73,75,3.36,PF,1597077176
muros,42.78,-9.06,73.99,69,98,7.0,ES,1597077176
riyadh,24.69,46.72,100.4,10,0,14.99,SA,1597077118
malindi,-3.22,40.12,75.2,83,20,5.82,KE,1597077176
lazaro cardenas,17.96,-102.2,88.83,60,92,3.22,MX,1597077001
xiongzhou,25.12,114.3,79.54,74,89,3.4,CN,1597077176
tucurui,-3.77,-49.67,92.77,37,15,5.19,BR,1597077042
anloga,5.79,0.9,80.6,74,20,16.11,GH,1597077176
mar del plata,-38.0,-57.56,55.99,66,40,12.75,AR,1597076958
gidam,18.98,81.4,72.16,93,100,4.36,IN,1597077176
eureka,40.8,-124.16,59.0,19,0,1.01,US,1597077176
longyearbyen,78.22,15.64,48.2,81,75,12.75,SJ,1597077054
lavrentiya,65.58,-171.0,47.79,77,41,2.48,RU,1597077177
salalah,17.02,54.09,78.8,88,90,4.7,OM,1597077177
dongsheng,39.82,109.98,72.91,35,31,8.3,CN,1597077088
aitape,-3.14,142.35,77.09,86,56,3.91,PG,1597077177
klaksvik,62.23,-6.59,57.2,87,75,11.41,FO,1597077177
mogok,22.92,96.5,67.64,100,100,3.85,MM,1597077177
yumen,40.28,97.2,69.15,27,38,6.31,CN,1597077177
bytosh,53.82,34.09,78.8,39,20,4.47,RU,1597077177
saint-augustin,51.23,-58.65,72.39,63,13,14.43,CA,1597077177
gat,31.61,34.76,84.0,61,40,9.17,IL,1597077177
ibra,22.69,58.53,88.99,55,6,12.06,OM,1597077177
karratha,-20.74,116.85,66.81,70,0,9.46,AU,1597077177
manyoni,-5.75,34.84,73.98,34,2,6.24,TZ,1597076900
plettenberg bay,-34.05,23.37,55.96,71,0,5.53,ZA,1597077177
fairhope,30.52,-87.9,91.0,66,1,4.7,US,1597077177
port hardy,50.7,-127.42,59.0,77,75,16.11,CA,1597077042
guarapari,-20.67,-40.5,78.8,69,75,12.75,BR,1597077177
namatanai,-3.67,152.43,78.66,77,51,2.21,PG,1597077178
shaoguan,24.8,113.58,79.7,77,99,2.51,CN,1597077178
ilulissat,69.22,-51.1,41.0,75,40,9.17,GL,1597077178
golubitskaya,45.32,37.28,84.0,42,30,15.66,RU,1597077178
alihe,50.57,123.72,58.17,89,96,2.57,CN,1597077178
fereydun kenar,36.69,52.52,80.6,65,20,4.7,IR,1597077178
espanola,35.99,-106.08,77.0,19,1,3.36,US,1597077178
mehamn,71.04,27.85,50.0,87,75,16.11,NO,1597077178
araouane,18.9,-3.53,106.84,8,18,8.77,ML,1597077178
davila,18.47,120.58,78.8,94,75,9.17,PH,1597077178
yar-sale,66.83,70.83,52.27,95,100,15.95,RU,1597077178
kamaishi,39.27,141.88,76.78,68,91,6.13,JP,1597077178
mackenzie,55.3,-123.17,57.2,54,40,6.93,CA,1597076943
necochea,-38.55,-58.74,53.01,56,0,8.99,AR,1597077179
pevek,69.7,170.31,41.5,89,100,4.34,RU,1597077179
alekseyevsk,57.84,108.35,60.26,65,93,3.47,RU,1597077179
praia,14.92,-23.51,84.2,66,40,4.7,CV,1597077179
puerto escondido,15.85,-97.07,84.2,66,90,4.45,MX,1597077179
bagdarin,54.43,113.6,54.12,85,100,2.89,RU,1597077179
itoman,26.12,127.67,84.2,89,75,12.75,JP,1597077179
san patricio,19.22,-104.7,87.8,74,40,6.06,MX,1597077179
souillac,-20.52,57.52,68.0,68,40,9.17,MU,1597077108
ushtobe,45.25,77.98,76.12,31,6,8.43,KZ,1597077179
south venice,27.05,-82.42,91.0,62,20,2.1,US,1597077179
makakilo city,21.35,-158.09,78.8,73,20,4.7,US,1597077179
fortuna,40.6,-124.16,59.0,86,0,1.01,US,1597077180
kalabo,-14.97,22.68,72.86,20,0,5.95,ZM,1597077180
krasnyy oktyabr,56.12,38.88,64.72,85,65,2.51,RU,1597077180
barcelos,41.54,-8.62,73.0,77,20,6.93,PT,1597077180
gizo,-8.1,156.84,81.82,76,84,7.74,SB,1597077180
longhua,23.61,114.19,79.41,83,100,1.97,CN,1597077180
saint-georges,12.06,-61.75,87.8,70,20,20.8,GD,1597077180
siavonga,-16.54,28.71,70.32,44,0,2.04,ZM,1597077180
kattivakkam,13.22,80.32,84.2,79,75,6.93,IN,1597077180
rudbar,30.15,62.6,98.13,9,1,16.67,AF,1597076969
cherskiy,68.75,161.3,38.68,87,100,17.78,RU,1597077180
tura,25.52,90.22,77.18,91,100,6.35,IN,1597077126
elko,41.0,-115.5,75.0,26,1,4.7,US,1597077180
maniitsoq,65.42,-52.9,42.03,71,64,7.49,GL,1597077080
saint anthony,45.02,-93.22,73.4,56,1,9.17,US,1597077180
naberera,-4.2,36.93,65.53,60,68,13.13,TZ,1597077180
ondjiva,-17.07,15.73,73.24,20,0,2.62,AO,1597077180
deloraine,-41.53,146.67,37.4,100,90,4.7,AU,1597077180
broome,42.25,-75.83,84.0,61,20,3.36,US,1597076990
shakhunya,57.68,46.61,53.69,82,50,3.78,RU,1597077180
elk city,35.41,-99.4,89.6,38,1,19.46,US,1597077181
khasan,42.43,130.64,70.21,94,100,5.1,RU,1597077181
mount gambier,-37.83,140.77,50.0,76,100,8.05,AU,1597077181
esperance,-33.87,121.9,55.4,87,75,14.99,AU,1597077181
sechura,-5.56,-80.82,72.97,54,1,7.47,PE,1597077181
seoni malwa,22.45,77.47,78.03,90,100,11.43,IN,1597077181
bud,39.45,-86.18,78.01,88,40,5.28,US,1597077181
farafangana,-22.82,47.83,65.97,79,0,10.22,MG,1597077181
la antigua,6.72,-76.08,73.11,72,66,2.68,CO,1597077181
haines junction,60.75,-137.51,48.76,84,100,2.17,CA,1597077181
fukue,32.69,128.84,82.38,88,9,17.52,JP,1597077181
rembang,-6.71,111.35,77.67,77,77,5.86,ID,1597077182
kysyl-syr,63.9,122.76,46.4,90,56,3.83,RU,1597077182
sedhiou,12.71,-15.56,80.6,94,75,4.7,SN,1597077182
chapais,49.78,-74.85,77.0,61,1,13.87,CA,1597076987
udomlya,57.88,34.99,63.25,87,100,7.05,RU,1597077126
shahpura,27.38,75.97,80.6,100,75,7.56,IN,1597077182
teguise,29.06,-13.56,80.6,57,20,20.8,ES,1597077182
richards bay,-28.78,32.04,63.36,59,0,5.7,ZA,1597077144
sucua,-2.47,-78.17,77.0,57,20,5.82,EC,1597077182
wanaka,-44.7,169.15,38.8,75,10,4.61,NZ,1597077182
betma,22.68,75.62,78.8,88,40,3.36,IN,1597077182
borskoye,53.03,51.72,58.75,76,38,10.54,RU,1597077182
prince rupert,54.32,-130.32,55.4,93,90,3.36,CA,1597077057
teahupoo,-17.83,-149.27,73.4,73,75,3.36,PF,1597077183
atasu,48.68,71.64,75.88,21,71,10.25,KZ,1597077183
xinzhou,38.41,112.73,69.89,72,1,1.63,CN,1597077183
troitskoye,52.98,84.68,64.96,77,60,7.38,RU,1597077183
camacha,33.08,-16.33,77.0,69,40,14.99,PT,1597077183
marinette,45.1,-87.63,77.0,94,75,5.82,US,1597077181
venado tuerto,-33.75,-61.97,63.0,22,0,23.0,AR,1597077183
ambon,-3.7,128.18,78.82,85,96,6.44,ID,1597077183
penzance,50.12,-5.54,71.01,82,75,17.22,GB,1597077098
mamlyutka,54.94,68.54,61.75,96,70,5.77,KZ,1597077183
maldonado,-34.67,-54.92,59.0,84,23,5.99,UY,1597077183
ivaipora,-24.25,-51.68,81.52,28,0,5.99,BR,1597077183
la romana,18.43,-68.97,91.4,70,75,11.41,DO,1597077183
nova olinda do norte,-3.89,-59.09,100.58,24,0,3.87,BR,1597077183
kirakira,-10.45,161.92,78.73,84,54,9.35,SB,1597077183
stara moravica,45.87,19.47,86.0,48,20,5.82,RS,1597077183
kaeo,-35.1,173.78,55.99,3,100,8.99,NZ,1597077183
gornyy,55.12,83.91,64.11,77,3,3.42,RU,1597077183
yarada,17.65,83.27,80.6,83,75,8.05,IN,1597077077
upernavik,72.79,-56.15,41.63,70,5,6.4,GL,1597077184
mount isa,-20.73,139.5,44.6,70,0,7.83,AU,1597077057
pyapon,16.28,95.68,80.35,87,100,7.11,MM,1597077184
bara,10.37,10.73,80.2,75,99,8.32,NG,1597077184
montceau-les-mines,46.67,4.37,82.4,54,16,8.05,FR,1597077184
santa marta,11.24,-74.2,93.2,67,40,8.05,CO,1597076921
tezu,27.92,96.17,76.57,86,100,2.64,IN,1597077184
itarema,-2.92,-39.92,87.4,51,0,17.74,BR,1597077184
tecolutla,20.48,-97.02,84.2,74,75,8.14,MX,1597077184
